"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"537","puremarkska",5,0,2,0.5,NA,0,0,0,2,0,0.765055554369947,0.754360703133382
"538","optimystical",3,0,4,0.58,0,0,0,0,7,0,0.632737791522211,0.776435733390554
"539","laurels16",3,0,3,0.41,0.05,0,0,0,2,0,0.647688096212758,0.790940353373651
"540","furi1234",3,0,3,0.4,0.08,0,0,0,1,0,0.697600695326914,0.839365004075072
"541","antantics",3,0,3,0.2,0.21,1,0,0,1,0,0.642886382728576,0.786281784147312
"542","afreezyfrench",5,0,3,0.53,0.04,1,1,0,2,0,0.708548602070848,0.849986541911124
"543","caroaming",3,0,1,0.53,0.1,0,0,0,2,0,0.61915524764231,0.763258099793141
"544","anrowan",2,0,2,0.56,0.13,0,0,0,1,0,0.663635605239009,0.806412449955673
"545","spozent",2,0,4,0.4,0.1,0,0,0,3,0,0.63916917746163,0.782675392778559
"546","chrisfox-eth",4,0,3,0.58,0.28,0,0,0,1,0,0.798999303509034,0.937740810383998
"547","timitrend",3,0,4,0.55,0.28,0,0,0,26,0,0.684417809215798,0.826575114017305
"548","kriptoboss",3,0,4,0.31,0.11,0,0,0,9,0,0.655883020559094,0.798890978186602
"549","sedaterdemdefne",7,0,4,0,NA,0,0,0,1,0,0.76585292982126,0.755134307962483
"550","mcoso",2,0,4,0.2,0.25,0,0,0,5,0,0.637981844672814,0.781523455660773
"551","shinmyoungrae",5,0,4,0.6,0.25,1,0,0,120,0,0.655221451145718,0.798249130870974
"552","john970473",4,0,3,0.54,0.28,0,0,0,3,0,0.744663307730662,0.885024629243768
